Date,Site ID (new),Chl RFU_mean,Chl RFU_std,Chl ug/L_mean,DO mg/L_mean,DO mg/L_min,DO mg/L_max,DO %_mean,Temp °C_mean,pH_mean,BGA-PC RFU_mean,DO_diel,DO_sat_anomaly,Chl_RFU_night,Sample Site,Chl_from_algae,log_cells,log_biovolume,share_Cyanobacteria,share_Bacillariophyta,Site Code,"NH3-ISE (mg/L), lo-level",NO3+NO2 (mg/L),OP-Phos (mg/L),"log_NH3-ISE (mg/L), lo-level",log_NO3+NO2 (mg/L),log_OP-Phos (mg/L),DO_diel_lag1,DO_diel_lag3,DO_diel_lag7,DO_sat_anomaly_lag1,DO_sat_anomaly_lag3,DO_sat_anomaly_lag7,Temp °C_mean_lag1,Temp °C_mean_lag3,Temp °C_mean_lag7,day_of_year,sin_doy,cos_doy,Chl_proxy,Chl_RFU_best,has_anchor,days_since_anchor,w_RFU,w_proxy,Chl_fused,NPQ_flag,YSI_proxy_ratio,low_bias_flag,DO_Chl_mismatch,anchor_error,anchor_disagree,any_QC_flag,DO mg/L_mean_interp,DO mg/L_mean_is_measured,DO %_mean_interp,DO %_mean_is_measured,Temp °C_mean_interp,Temp °C_mean_is_measured,pH_mean_interp,pH_mean_is_measured,DO_diel_interp,DO_diel_is_measured,DO_sat_anomaly_interp,DO_sat_anomaly_is_measured,DO_diel_interp_lag1,DO_sat_anomaly_interp_lag1,DO_diel_interp_lag3,DO_sat_anomaly_interp_lag3,DO_diel_interp_lag7,DO_sat_anomaly_interp_lag7,Chl_continuous,data_quality,Chl_continuous_lower,Chl_continuous_upper
2010-06-29,BB,0.2,0.1414213562373094,2.3,13.935,13.93,13.94,,12.63,8.385000000000002,,0.0099999999999997,,,,,,,,,,,,,,,,,,,,,,,,,180,0.04302223300453059,-0.99907411510223,4.12763909119387,0.2,0.0,0.0,0.2689414213699951,0.7310585786300049,3.636111236256824,False,0.4485495096466491,False,False,,False,False,13.935,True,119.15,False,12.63,True,8.385000000000002,True,0.0099999999999997,True,19.15000000000001,False,,,,,,,10.161039756262413,0.6666666666666666,8.467533130218676,11.85454638230615
2010-06-30,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,0.02581844022713308,-0.9996666485105112,,,,,,,,,,,,,,,13.94357142857143,False,119.15,False,13.542857142857144,False,8.520000000000001,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,,,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-01,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,0.008606996888688698,-0.9999629591162655,,,,,,,,,,,,,,,13.952142857142857,False,119.15,False,14.455714285714286,False,8.655000000000001,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,,,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-02,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,-0.008606996888688009,-0.9999629591162655,,,,,,,,,,,,,,,13.960714285714285,False,119.15,False,15.36857142857143,False,8.790000000000001,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-03,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,-0.02581844022713239,-0.9996666485105112,,,,,,,,,,,,,,,13.969285714285714,False,119.15,False,16.281428571428574,False,8.925,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-04,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,-0.04302223300453034,-0.99907411510223,,,,,,,,,,,,,,,13.977857142857143,False,119.15,False,17.194285714285716,False,9.06,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-05,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,-0.060213277365792774,-0.9981855344718586,,,,,,,,,,,,,,,13.98642857142857,False,119.15,False,18.10714285714286,False,9.195,False,0.0099999999999997,False,19.15000000000001,False,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,,,10.161039756262413,0.0,5.080519878131207,15.24155963439362
2010-07-06,BB,0.675,0.7778174593052023,2.7,13.995,13.99,14.0,119.15,19.020000000000003,9.33,,0.0099999999999997,19.15000000000001,,,,,,,,BB,0.025,0.025,,-1.585026652029182,-1.585026652029182,-2.6989700043360187,0.0099999999999997,,,,,,12.63,,,187,-0.07738647923346322,-0.9970011699250151,10.161039756262412,0.675,0.0,0.0,0.2689414213699951,0.7310585786300049,8.154457119315158,False,0.2419129452957141,False,False,,False,False,13.995,True,119.15,True,19.020000000000003,True,9.33,True,0.0099999999999997,True,19.15000000000001,True,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,10.161039756262413,1.0,10.161039756262413,10.161039756262413
2010-07-07,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,-0.09453674981719933,-0.9955213724144752,,,,,,,,,,,,,,,13.994117647058824,False,119.98529411764707,False,19.217352941176472,False,9.361470588235294,False,0.009411764705882071,False,19.98529411764707,False,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,10.546182655396715,0.0,5.273091327698357,15.819273983095073
2010-07-08,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,-0.11165900712169444,-0.9937465804361781,,,,,,,,,,,,,,,13.993235294117646,False,120.82058823529412,False,19.414705882352944,False,9.392941176470588,False,0.008823529411764442,False,20.820588235294128,False,0.009411764705882071,19.98529411764707,0.0099999999999997,19.15000000000001,0.0099999999999997,19.15000000000001,10.944615987679988,0.0,5.472307993839994,16.416923981519982
