date,raw_value,calibrated_chl,sensor,initial_chl
2011-01-20,24.228166715766324,27.355584140958396,MODIS-Aqua,24.228166715766324
2011-01-27,35.272712626322495,31.66188951926092,MODIS-Aqua,35.272712626322495
2011-01-28,36.48805215298841,32.050279947897295,MODIS-Aqua,36.48805215298841
2011-01-30,56.27239795825382,37.01728047814461,MODIS-Aqua,56.27239795825382
2011-02-01,35.370010879490614,31.693472586893694,MODIS-Aqua,35.370010879490614
2011-02-07,32.18551751279363,30.611745091519968,MODIS-Aqua,32.18551751279363
2011-02-09,41.30537310667347,33.47206898593119,MODIS-Aqua,41.30537310667347
2011-02-10,32.253601089528246,30.635972633789986,MODIS-Aqua,32.253601089528246
2011-02-12,38.57362116620835,32.68756619344465,MODIS-Aqua,38.57362116620835
2011-02-14,40.20885597140302,33.16359068401336,MODIS-Aqua,40.20885597140302
2011-02-20,47.90235588264718,35.17091045755694,MODIS-Aqua,47.90235588264718
2011-03-02,32.26595419721053,30.640363005527586,MODIS-Aqua,32.26595419721053
2011-03-07,37.49159121894693,32.361354953246305,MODIS-Aqua,37.49159121894693
2011-03-22,41.884527271769066,33.63171093557975,MODIS-Aqua,41.884527271769066
2011-03-31,41.45559856883454,33.51369212897717,MODIS-Aqua,41.45559856883454
2011-04-02,37.093229722697274,32.23887994990541,MODIS-Aqua,37.093229722697274
2011-04-03,32.27470093774706,30.643470635516092,MODIS-Aqua,32.27470093774706
2011-04-05,41.297683210420594,33.46993426655479,MODIS-Aqua,41.297683210420594
2011-04-11,43.21367915607059,33.98989474498997,MODIS-Aqua,43.21367915607059
2011-04-12,41.15514837612413,33.430294389409596,MODIS-Aqua,41.15514837612413
2011-04-13,42.56569394776609,33.81667120398134,MODIS-Aqua,42.56569394776609
2011-04-18,42.200877266236944,33.717982105815864,MODIS-Aqua,42.200877266236944
2011-04-19,39.78903660180822,33.04325225446249,MODIS-Aqua,39.78903660180822
2011-04-21,55.53354759842558,36.86574499461646,MODIS-Aqua,55.53354759842558
2011-04-25,46.29213649482977,34.77888138275134,MODIS-Aqua,46.29213649482977
2011-04-26,43.029267233504335,33.940862418637266,MODIS-Aqua,43.029267233504335
2011-04-27,36.28733225954346,31.987035349725286,MODIS-Aqua,36.28733225954346
2011-04-28,41.37523098606848,33.4914433870576,MODIS-Aqua,41.37523098606848
2011-04-30,41.602824504938525,33.55433810199561,MODIS-Aqua,41.602824504938525
2011-05-01,38.24155390484964,32.58843777713831,MODIS-Aqua,38.24155390484964
2011-05-03,36.06433070094097,31.916358500099268,MODIS-Aqua,36.06433070094097
2011-05-04,37.6083150815498,32.396994898810306,MODIS-Aqua,37.6083150815498
2011-05-08,39.3290957912147,32.909947009167084,MODIS-Aqua,39.3290957912147
2011-05-09,42.575909257597054,33.819422429230684,MODIS-Aqua,42.575909257597054
2011-05-10,40.33825947548667,33.20043010918086,MODIS-Aqua,40.33825947548667
2011-05-12,39.558734599326115,32.976697263606766,MODIS-Aqua,39.558734599326115
2011-05-18,49.26347715717288,35.49214932062854,MODIS-Aqua,49.26347715717288
2011-05-19,36.96460079153047,32.19905231302198,MODIS-Aqua,36.96460079153047
2011-05-21,49.13852555529348,35.463031789334565,MODIS-Aqua,49.13852555529348
2011-05-22,46.51356996300944,34.83359379109349,MODIS-Aqua,46.51356996300944
2011-05-23,60.23447554643979,37.79738960352802,MODIS-Aqua,60.23447554643979
2011-06-07,46.19984862136153,34.75600132537558,MODIS-Aqua,46.19984862136153
2011-06-08,50.26143479322515,35.72208760483453,MODIS-Aqua,50.26143479322515
2011-06-09,46.64876122171648,34.8668693222004,MODIS-Aqua,46.64876122171648
2011-06-12,24.957894414251452,27.695809812392508,MODIS-Aqua,24.957894414251452
2011-06-13,46.205948961377125,34.75751513495629,MODIS-Aqua,46.205948961377125
2011-06-14,51.288820773539314,35.95408540081597,MODIS-Aqua,51.288820773539314
2011-06-15,52.22290836692652,36.161016734135,MODIS-Aqua,52.22290836692652
2011-06-16,47.374350408108135,35.0438318161783,MODIS-Aqua,47.374350408108135
2011-06-17,55.299273754932,36.81727505402051,MODIS-Aqua,55.299273754932
2011-06-19,51.954554141912766,36.101948763584744,MODIS-Aqua,51.954554141912766
2011-06-20,55.245361920946905,36.806091936353795,MODIS-Aqua,55.245361920946905
2011-06-22,55.42200869815452,36.842693776715976,MODIS-Aqua,55.42200869815452
2011-06-23,50.88418590605285,35.86327285999367,MODIS-Aqua,50.88418590605285
2011-06-24,61.20321735637306,37.980317599019955,MODIS-Aqua,61.20321735637306
2011-06-26,64.35914353750249,38.556785683532254,MODIS-Aqua,64.35914353750249
2011-06-30,67.33682982473427,39.07534315391908,MODIS-Aqua,67.33682982473427
2011-07-01,62.53939718363449,38.22793372791091,MODIS-Aqua,62.53939718363449
2011-07-02,55.245361920946905,36.806091936353795,MODIS-Aqua,55.245361920946905
2011-07-03,68.24251775274148,39.228525221178884,MODIS-Aqua,68.24251775274148
2011-07-04,68.11904309664655,39.20776163298025,MODIS-Aqua,68.11904309664655
2011-07-05,70.8061314887245,39.651341264132625,MODIS-Aqua,70.8061314887245
2011-07-06,72.54285178044563,39.929167297571794,MODIS-Aqua,72.54285178044563
2011-07-07,63.73207199461753,38.44452759531475,MODIS-Aqua,63.73207199461753
2011-07-08,61.95968075976808,38.12115886191282,MODIS-Aqua,61.95968075976808
2011-07-09,78.1396193168313,40.78126775194997,MODIS-Aqua,78.1396193168313
2011-07-10,62.18311753732557,38.16243034014613,MODIS-Aqua,62.18311753732557
2011-07-14,105.10226825015248,44.180010669576745,MODIS-Aqua,105.10226825015248
2011-07-20,106.83870567100666,44.36788625862863,MODIS-Aqua,106.83870567100666
2011-07-21,112.1435456152502,44.92348950200393,MODIS-Aqua,112.1435456152502
2011-07-22,121.83724934882588,45.874038736868286,MODIS-Aqua,121.83724934882588
2011-07-23,88.80020636652026,42.24758850751053,MODIS-Aqua,88.80020636652026
2011-07-24,89.44174389557634,42.33012204193986,MODIS-Aqua,89.44174389557634
2011-07-26,101.48655774210876,43.77863818151985,MODIS-Aqua,101.48655774210876
2011-07-27,80.0042368182344,41.05164739165035,MODIS-Aqua,80.0042368182344
2011-07-28,82.27566266676135,41.37262787332071,MODIS-Aqua,82.27566266676135
