date,satellite_value,calibrated_chlorophyll_ugL,sensor
2011-01-18,42.71372527677982,16.127323749219954,MODIS-Terra
2011-01-20,49.10362749323601,15.851528916081065,MODIS-Terra
2011-01-22,55.17327765459201,15.620894052188646,MODIS-Terra
2011-01-25,31.321987394521575,16.740623239198953,MODIS-Terra
2011-01-27,46.87601539682623,15.943384355207627,MODIS-Terra
2011-02-01,43.21284741199817,16.10434500390761,MODIS-Terra
2011-02-02,40.29838878889928,16.242446597487287,MODIS-Terra
2011-02-06,42.383123979287866,16.142691999487283,MODIS-Terra
2011-02-07,26.68028458259234,17.057549168540504,MODIS-Terra
2011-02-09,40.58303421112675,16.22852685670216,MODIS-Terra
2011-02-10,41.347013642986816,16.191642734702327,MODIS-Terra
2011-02-21,42.1803874334997,16.15217561537031,MODIS-Terra
2011-02-26,34.71771840677368,16.53717430362326,MODIS-Terra
2011-03-09,31.52021070920548,16.72815530614389,MODIS-Terra
2011-03-21,35.66598589680588,16.48390190504381,MODIS-Terra
2011-03-22,37.7812528435617,16.369988538698635,MODIS-Terra
2011-03-28,38.42335584845298,16.336665810713384,MODIS-Terra
2011-03-31,38.999496551109,16.307235687053776,MODIS-Terra
2011-04-01,39.68884375657251,16.272587407375113,MODIS-Terra
2011-04-02,41.031813195802734,16.20677722989501,MODIS-Terra
2011-04-03,30.01753215964598,16.824688474729555,MODIS-Terra
2011-04-05,35.42312916254248,16.497409477072893,MODIS-Terra
2011-04-12,38.459826649350575,16.33478981944768,MODIS-Terra
2011-04-19,37.593660868109154,16.37983052676941,MODIS-Terra
2011-04-21,40.929739380043834,16.211703217141007,MODIS-Terra
2011-04-27,43.31827281139547,16.0995252690675,MODIS-Terra
2011-04-28,39.8159915879271,16.266262263811996,MODIS-Terra
2011-04-30,33.6488965853618,16.59898747983175,MODIS-Terra
2011-05-01,37.622290825083745,16.378325296665707,MODIS-Terra
2011-05-03,36.05067103498082,16.462692524343083,MODIS-Terra
2011-05-04,41.79188571138216,16.170476678259774,MODIS-Terra
2011-05-08,40.286594237924945,16.243025488892044,MODIS-Terra
2011-05-10,39.01504855275047,16.306447291791187,MODIS-Terra
2011-05-12,38.15826881865125,16.350355009667624,MODIS-Terra
2011-05-18,50.72641711261269,15.787193499412638,MODIS-Terra
2011-05-19,35.05336222073972,16.518154150036025,MODIS-Terra
2011-05-20,47.87374117638811,15.901716485473116,MODIS-Terra
2011-05-22,22.618010532846675,17.38378793661127,MODIS-Terra
2011-05-23,45.24444983330788,16.013467593774408,MODIS-Terra
2011-05-27,44.63700920145733,16.040205851649603,MODIS-Terra
2011-05-29,45.587505607314846,15.998524766622268,MODIS-Terra
2011-05-30,41.689309517220906,16.17533703024617,MODIS-Terra
2011-06-07,49.52640421687819,15.834565942877703,MODIS-Terra
2011-06-08,43.18262257305896,16.10572895670282,MODIS-Terra
