chl,date,sensor
51.488042492649015,2011-01-19,Terra
47.57726012338265,2011-01-20,Terra
44.138414808424436,2011-01-22,Terra
31.07985636684843,2011-01-25,Terra
44.15842761556074,2011-01-27,Terra
38.738545873157705,2011-01-28,Terra
40.03398037493862,2011-02-01,Terra
36.78979461507967,2011-02-02,Terra
41.35041279734009,2011-02-06,Terra
26.68028458259234,2011-02-07,Terra
40.314557267917074,2011-02-09,Terra
42.65710007616289,2011-02-10,Terra
42.10987520731364,2011-02-18,Terra
38.12874049890904,2011-02-20,Terra
37.66888690414262,2011-02-21,Terra
33.99672945032897,2011-03-02,Terra
32.1836740865424,2011-03-09,Terra
33.753811732289094,2011-03-20,Terra
38.929687782729076,2011-03-28,Terra
38.59173760155277,2011-03-31,Terra
39.70179446906179,2011-04-01,Terra
28.13175441504817,2011-04-03,Terra
34.30377668628167,2011-04-05,Terra
39.65433925486523,2011-04-12,Terra
53.01515770582106,2011-04-18,Terra
37.41031150455744,2011-04-19,Terra
41.59470338520133,2011-04-21,Terra
41.45607356164854,2011-04-27,Terra
31.827582941305327,2011-04-30,Terra
37.417803259461934,2011-05-01,Terra
36.13130005052787,2011-05-03,Terra
41.79188571138216,2011-05-04,Terra
39.186644710025924,2011-05-08,Terra
39.01504855275047,2011-05-10,Terra
39.687381836770385,2011-05-13,Terra
47.210458906033075,2011-05-18,Terra
35.57380915833915,2011-05-19,Terra
47.87374117638811,2011-05-20,Terra
46.2496835490363,2011-05-23,Terra
46.02490472493372,2011-05-29,Terra
49.78473159209051,2011-06-07,Terra
44.24217365157761,2011-06-08,Terra
48.322823651381405,2011-06-09,Terra
44.153741742474296,2011-06-10,Terra
38.08715020466465,2011-06-13,Terra
55.09904589960791,2011-06-14,Terra
46.99375123013666,2011-06-15,Terra
46.17186966048165,2011-06-16,Terra
46.31664720323335,2011-06-17,Terra
46.77578561547276,2011-06-19,Terra
40.70910631395851,2011-06-20,Terra
55.14908286957097,2011-06-21,Terra
49.03274001872811,2011-06-22,Terra
51.6197576993468,2011-06-23,Terra
52.2735958061832,2011-06-24,Terra
50.58553846162307,2011-06-26,Terra
69.25451779001358,2011-06-30,Terra
52.46459618469931,2011-07-01,Terra
55.78442329375246,2011-07-02,Terra
45.949113017715675,2011-07-03,Terra
68.15539320932577,2011-07-04,Terra
58.544763048898965,2011-07-05,Terra
66.85363660553769,2011-07-06,Terra
